Dish Name,Category,Sub Category,Alternative names
Original,Desserts,Cheesecakes,"cheesecake, original cheesecake"
Fresh strawberry cheesecake,Desserts,Cheesecakes,strawberry cheesecake
Pineapple Upside-down cheesecake,Desserts,Cheesecakes,Pineapple cheesecake
 Oreo DREAM EXTREME CHEESECAKE,Desserts,Cheesecakes,"Oreo Cheescake, Oreo extreme cheesecake, oreo dream cheesecake"
VERY CHERRY GHIRARDELLI CHOCOLATE CHEESECAKE,Desserts,Cheesecakes,"cherry ghirardelli chocolate cheesecake,cherry ghirardelli cheesecake,ghirardelli chocolate cheesecake"
CINNABON CINNAMON SWIRL CHEESECAKE,Desserts,Cheesecakes,"CINNABON SWIRL CHEESECAKE,CINNABON SWIRL CHEESECAKE,SWIRL CHEESECAKE,CINNABON CINNAMON CHEESECAKE,CINNABON CHEESECAKE, CINNAMON CHEESECAKE"
REESE'S PEANUT BUTTER CHOCOLATE CAKE CHEESECAKE,Desserts,Cheesecakes,"PEANUT BUTTER CHOCOLATE CAKE CHEESECAKE, PEANUT BUTTER CHEESECAKE, PEANUT BUTTER CHOCOLATE CHEESECAKE"
CELEBRATION CHEESECAKE,Desserts,Cheesecakes,
CHOCOLATE HAZELNUT CRUNCH CHEESECAKE,Desserts,Cheesecakes,"CHOCOLATE HAZELNUT CRUNCH CHEESECAKE,CHOCOLATE HAZELNUT CHEESECAKE"
SALTED CARAMEL CHEESECAKE,Desserts,Cheesecakes,
TOASTED MARSHMALLOW S'MORES GALORE,Desserts,Cheesecakes,"TOASTED MARSHMALLOW S'MORES CHEESECAKE,TOASTED MARSHMALLOW CHEESECAKE"
LEMON MERINGUE CHEESECAKE,Desserts,Cheesecakes,
ADAM'S PEANUT BUTTER CUP FUDGE RIPPLE CHEESECAKE,Desserts,Cheesecakes,
GODIVA CHOCOLATE CHEESECAKE,Desserts,Cheesecakes,"GODIVA CHOCOLATE CHEESECAKE,GODIVA CHEESECAKE"
ULTIMATE RED VELVET CAKE CHEESECAKE,Desserts,Cheesecakes,"ULTIMATE RED VELVET CAKE CHEESECAKE,RED VELVET CAKE CHEESECAKE,RED VELVET CHEESECAKE"
DULCE DE LECHE CARAMEL CHEESECAKE,Desserts,Cheesecakes,
WHITE CHOCOLATE RASPBERRY TRUFFLE,Desserts,Cheesecakes,
MANGO KEY LIME CHEESECAKE,Desserts,Cheesecakes,
FRESH BANANA CREAM CHEESECAKE,Desserts,Cheesecakes,
WHITE CHOCOLATE CARAMEL MACADAMIA NUT CHEESECAKE,Desserts,Cheesecakes,
LEMON RASPBERRY CREAM CHEESECAKE,Desserts,Cheesecakes,
CHOCOLATE MOUSSE CHEESECAKE,Desserts,Cheesecakes,
CHOCOLATE TUXEDO CREAM CHEESECAKE,Desserts,Cheesecakes,
HERSHEY'S CHOCOLATE BAR CHEESECAKE,Desserts,Cheesecakes,
30TH ANNIVERSARY CHOCOLATE CAKE CHEESECAKE,Desserts,Cheesecakes,"CHOCOLATE CAKE CHEESECAKE,CHOCOLATE CHEESECAKE"
VANILLA BEAN CHEESECAKE,Desserts,Cheesecakes,
TIRAMISU CHEESECAKE,Desserts,Cheesecakes,
CHOCOLATE CHIP COOKIE - DOUGH CHEESECAKE,Desserts,Cheesecakes,
KEY LIME CHEESECAKE,Desserts,Cheesecakes,
LOW CARB CHEESECAKE,Desserts,Cheesecakes,
LOW CARB CHEESECAKE WITH STRAWBERRIES,Desserts,Cheesecakes,
CARAMEL PECAN TURTLE CHEESECAKE,Desserts,Cheesecakes,
PUMPKIN CHEESECAKE,Desserts,Cheesecakes,
PUMPKIN PECAN CHEESECAKE,Desserts,Cheesecakes,
PEPPERMINT BARK CHEESECAKE,Desserts,Cheesecakes,
LINDA'S FUDGE CAKE,Desserts,Speciality Desserts,"LINDA'S FUDGE CAKE,LINDA'S FUDGE CHEESECAKE, FUDGE CHEESECAKE"
BLACK-OUT CAKE,Desserts,Speciality Desserts,
CARROT CAKE,Desserts,Speciality Desserts,
WARM APPLE CRISP,Desserts,Speciality Desserts,
LEMONCELLO CREAM TORTE,Desserts,Speciality Desserts,
TIRAMISU,Desserts,Speciality Desserts,
CHOCOLATE TOWER TRUFFLE CAKE,Desserts,Speciality Desserts,
FRESH STRAWBERRY SHORTCAKE,Desserts,Speciality Desserts,
BOWL OF FRESH STRAWBERRIES,Desserts,Speciality Desserts,FRESH STRAWBERRIES
HOT FUDGE SUNDAE,Desserts,Ice cream delights,
GODIVA CHOCOLATE BROWNIE SUNDAE,Desserts,Ice cream delights,
BOWL OF ICE CREAM,Desserts,Ice cream delights,ICE CREAM BOWL
LITTLE HOUSE SALAD,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
GREEK SALAD,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
CHICKEN TAQUITOS,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
“NASHVILLE HOT” CHICKEN NUGGETS,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,"NASHVILLE HOT CHICKEN NUGGETS, HOT CHICKEN NUGGETS,CHICKEN NUGGETS"
KOREAN FRIED CAULIFLOWER,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,FRIED CAULIFLOWER
STUFFED MUSHROOMS,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
CRISPY BRUSSELS SPROUTS,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
LOADED BAKED POTATO TOTS,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,BAKED POTATO TOTS
BEET AND AVOCADO SALAD,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
CHEESEBURGER SPRING ROLLS,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
CHICKEN SAMOSAS,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
FRIED ZUCCHINI,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
CRISPY FRIED CHEESE,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
EDAMAME,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
DYNAMITE SHRIMP,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
CRISPY CRAB BITES,SMALL PLATES & SNACKS & APPETIZERS,SMALL PLATES & SNACKS,
